mppi_config,mppi_model,sim_model,track_choice,dt,V_target,t,x,y,yaw,vx,vy,omega,throttle,steering,speed,beta,comp_sat
,,,,,,1756197415.453106,0.8289960059861515,-2.2011462188930557,0.06854302161354468,1.60117769241333,0.10679305344820023,1.6659188270568848,0.46671006083488464,0.45153775811195374,1.6047351055382526,0.06659793063302633,0
,,,,,,1756197415.5036902,0.9098205688879917,-2.1870509076799762,0.15999987038699082,1.7019541263580322,0.11962829530239105,2.0027525424957275,0.5767307877540588,0.5255255103111267,1.7061532103724122,0.07017337716322002,0
,,,,,,1756197415.554287,0.991419248421857,-2.166629390298877,0.2302559687454073,1.6312512159347534,0.087416872382164,1.4992505311965942,-0.018688078969717026,0.46470120549201965,1.63359182143695,0.05353763736361946,0
,,,,,,1756197415.6066904,1.066791137400923,-2.1415984799782337,0.3078662063062581,1.5200070142745972,0.10139889270067215,1.5464649200439453,-0.018688078969717026,0.46470120549201965,1.5233853940762654,0.06661079749238405,0
,,,,,,1756197415.6576278,1.1342745114308128,-2.1119613529665195,0.3931651596814898,1.3830015659332275,0.13948912918567657,2.120572328567505,0.030983837321400642,1.0501664876937866,1.3900181828072387,0.10051977235779597,0
,,,,,,1756197415.708626,1.1912420066797753,-2.077231176425434,0.5006507429730342,1.250088095664978,0.1564887911081314,1.938926100730896,0.158295139670372,0.8133830428123474,1.2598448272171363,0.12453439776187199,0
,,,,,,1756197415.759504,1.2391471596347396,-2.040153301825974,0.5949104705049995,1.1335134506225586,0.14068084955215454,1.8206971883773804,0.158295139670372,0.8133830428123474,1.1422100700716027,0.12347902131945897,0
,,,,,,1756197415.800056,1.2716268843052965,-2.0100386110860544,0.6660120575059436,1.03919517993927,0.1431010514497757,1.7699722051620483,0.13810943067073822,0.9663203358650208,1.0490016839524345,0.13684310572348718,0
,,,,,,1756197415.8523397,1.305055191876945,-1.9726559433925603,0.7521357939804498,0.9261479377746582,0.13565464317798615,1.6269530057907104,0.12785956263542175,1.0238451957702637,0.9360300127987344,0.1454377047644371,1
,,,,,,1756197415.9032886,1.3315838060254728,-1.9368428952681576,0.8311877717044538,0.8164703249931335,0.12640778720378876,1.4865684509277344,0.12785956263542175,1.0238451957702637,0.8261977488834931,0.15360273296446075,1
